                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 0.8252,                0.57363,                0.96164,                0.42529,                0.44106,                0.42611,                0.26552,                 1.3444,                 1.7398,                 1.4328,             0.00047367,             0.00047367,             0.00047367
                     36,                0.80246,                0.55659,                0.94327,                 0.4728,                0.40865,                0.41679,                0.26406,                  1.295,                 1.8027,                 1.3955,              0.0004666,              0.0004666,              0.0004666
                     37,                0.78125,                0.53322,                0.92729,                0.71929,                0.41635,                0.47113,                0.29955,                 1.2747,                 1.5566,                 1.3727,             0.00045953,             0.00045953,             0.00045953
                     38,                0.82269,                0.54612,                0.94313,                0.66421,                0.43037,                 0.4525,                0.28811,                 1.2687,                 1.5124,                 1.3605,             0.00045246,             0.00045246,             0.00045246
                     39,                0.79664,                 0.5446,                0.93177,                0.63698,                0.44861,                0.45023,                0.29429,                 1.2618,                 1.5204,                 1.3591,             0.00044539,             0.00044539,             0.00044539
                     40,                0.75275,                0.51417,                0.92833,                0.63515,                 0.4262,                  0.439,                0.27978,                 1.2641,                 1.6114,                 1.3537,             0.00043832,             0.00043832,             0.00043832
                     41,                0.80144,                  0.535,                0.94819,                0.64633,                0.46108,                0.44514,                0.28094,                 1.2646,                 1.5398,                 1.3681,             0.00043126,             0.00043126,             0.00043126
                     42,                0.76069,                0.50734,                0.92758,                0.67271,                0.37245,                0.41423,                0.26877,                  1.287,                 1.6231,                 1.3792,             0.00042419,             0.00042419,             0.00042419
                     43,                0.74453,                0.50457,                0.92763,                 0.6491,                0.44789,                0.44342,                0.28327,                 1.2709,                 1.5447,                 1.3996,             0.00041712,             0.00041712,             0.00041712
                     44,                0.76075,                0.51314,                0.92503,                0.70623,                0.39581,                0.43267,                 0.2723,                 1.3566,                 1.7315,                 1.4325,             0.00041005,             0.00041005,             0.00041005
                     45,                0.76788,                0.51356,                0.93636,                0.67643,                0.40349,                0.40413,                0.26059,                 1.3759,                 1.8021,                 1.4372,             0.00040298,             0.00040298,             0.00040298
                     46,                0.75598,                0.49515,                0.91583,                0.68257,                0.37705,                0.40801,                0.26504,                 1.3326,                 1.9333,                 1.4155,             0.00039591,             0.00039591,             0.00039591
                     47,                0.73727,                0.48331,                0.92547,                0.67793,                0.46144,                0.43241,                0.28813,                 1.2933,                 1.7009,                 1.4095,             0.00038884,             0.00038884,             0.00038884
                     48,                0.70688,                0.47261,                0.92561,                  0.662,                0.38084,                0.40516,                0.26594,                 1.3155,                  1.634,                 1.3884,             0.00038178,             0.00038178,             0.00038178
                     49,                0.70936,                0.46152,                0.91251,                0.63843,                0.41504,                 0.4203,                0.26836,                 1.3508,                 1.5854,                 1.4197,             0.00037471,             0.00037471,             0.00037471
                     50,                0.70522,                 0.4564,                0.91267,                 0.6766,                0.42978,                0.44972,                0.28355,                  1.317,                 1.5643,                 1.3896,             0.00036764,             0.00036764,             0.00036764
                     51,                0.70944,                 0.4892,                0.91877,                0.74297,                0.42907,                0.48808,                0.31317,                 1.3166,                 1.6093,                 1.3764,             0.00036057,             0.00036057,             0.00036057
                     52,                0.71954,                 0.4794,                0.90665,                0.51134,                0.50365,                0.47646,                0.30642,                 1.2955,                 1.5319,                  1.389,              0.0003535,              0.0003535,              0.0003535
                     53,                0.69992,                0.46081,                0.91461,                 0.4707,                0.50716,                0.46994,                0.30785,                 1.2739,                 1.5364,                 1.3969,             0.00034643,             0.00034643,             0.00034643
                     54,                0.74869,                0.48056,                0.91116,                 0.4458,                0.45293,                0.45451,                0.29382,                  1.271,                 1.5208,                 1.3836,             0.00033936,             0.00033936,             0.00033936
